country,airport,total_flights,departures,arrivals
France,Toulouse-Blagnac,71243.57142857143,35766.57142857143,35477.0
France,Tours-Val de Loire,2728.4285714285716,1359.857142857143,1368.5714285714287
France,Toussus-le-Noble,9803.714285714286,4954.571428571428,4849.142857142857
Georgia,Tbilisi,24648.14285714286,12324.142857142857,12324.0
Germany,Berlin - Brandenburg,84955.57142857143,42368.0,42587.57142857143
Germany,Berlin - Tegel,158519.2,79216.2,79303.0
Germany,Bremen,22685.85714285714,11270.285714285714,11415.57142857143
Germany,Cologne-Bonn,109811.57142857143,54664.857142857145,55146.71428571428
Germany,Dresden,15294.142857142857,7621.428571428572,7672.714285714285
Germany,Dusseldorf,155957.0,77950.71428571429,78006.28571428571
Germany,Erfurt,4219.857142857143,2065.4285714285716,2154.4285714285716
Germany,Frankfurt,368789.14285714284,184378.57142857142,184410.57142857142
Germany,Hamburg,109405.42857142857,54645.57142857143,54759.857142857145
Germany,Hanover,47006.28571428572,23456.571428571428,23549.714285714286
Germany,Leipzig-Halle,63503.142857142855,31734.285714285714,31768.85714285714
Germany,Muenster-Osnabrueck,14759.714285714286,7179.428571428572,7580.285714285715
Germany,Munich,287646.28571428574,143837.7142857143,143808.57142857142
Germany,Nuremberg,36950.0,18342.14285714286,18607.85714285714
Germany,Saarbruecken,6483.571428571428,3199.4285714285716,3284.1428571428573
Germany,Stuttgart,89363.85714285714,44683.857142857145,44680.0
Greece,Aktion,4230.428571428572,2089.285714285714,2141.1428571428573
Greece,Athens,161968.7142857143,80943.42857142857,81025.28571428571
Greece,Corfu,18898.571428571428,9467.57142857143,9431.0
Greece,Heraklion,42311.142857142855,21159.428571428572,21151.714285714286
Greece,Kefallinia,4899.571428571428,2436.5714285714284,2463.0
Greece,Khania - Souda,20045.0,10025.285714285714,10019.714285714286
Greece,Kos,14249.714285714286,7131.857142857143,7117.857142857143
Greece,Mikonos,12509.42857142857,6252.142857142857,6257.285714285715
Greece,Rodos,29232.571428571428,14607.0,14625.57142857143
Greece,Santorini,14421.0,7211.428571428572,7209.571428571428
Greece,Skiathos,3129.5714285714284,1557.2857142857142,1572.2857142857142
Greece,Thessaloniki,42988.0,21457.14285714286,21530.85714285714
Greece,Zakinthos,9365.42857142857,4688.285714285715,4677.142857142857
Hungary,Budapest - Ferihegy,81831.0,40924.42857142857,40906.57142857143
Ireland,Connaught,4501.0,2244.285714285714,2256.714285714286
Ireland,Cork,18246.85714285714,9127.42857142857,9119.42857142857
Ireland,Donegal,1591.0,794.2857142857143,796.7142857142857
Ireland,Dublin,165868.2857142857,82921.85714285714,82946.42857142857
Ireland,Kerry - Farranfore,3539.4285714285716,1768.7142857142858,1770.7142857142858
Ireland,Shannon,16292.714285714286,8150.857142857143,8141.857142857143
Ireland,Sligo,46.142857142857146,22.428571428571427,23.714285714285715
Ireland,Waterford,528.5714285714286,262.42857142857144,266.14285714285717
Ireland,Weston,753.0,370.85714285714283,382.14285714285717
Israel,Ben Gurion International,125770.66666666667,62874.666666666664,62896.0
Israel,Tel Aviv - Ben Gurion International,61551.0,30784.0,30767.0
Italy,Bergamo,67729.0,33841.0,33888.0
Italy,Bologna,55162.42857142857,27590.85714285714,27571.571428571428
Italy,Brindisi,15400.0,7698.285714285715,7701.714285714285
Italy,Catania,55845.0,27920.571428571428,27924.428571428572
Italy,Milan - Linate,82306.85714285714,41098.0,41208.857142857145
Italy,Milan - Malpensa,150632.14285714287,75311.57142857143,75320.57142857143
Italy,Naples,58124.57142857143,29055.428571428572,29069.14285714286
Italy,Palermo Falcone-Borsellino,30994.0,15497.5,15496.5
Italy,Pisa San Giusto,32966.142857142855,16529.571428571428,16436.571428571428
Italy,Rome - Ciampino,40472.71428571428,20221.714285714286,20251.0
Italy,Rome - Fiumicino,216871.42857142858,108442.0,108429.42857142857
Italy,Torino Caselle,31551.14285714286,15771.0,15780.142857142857
Italy,Treviso,14556.0,7278.857142857143,7277.142857142857
Italy,Venice,67531.71428571429,33767.42857142857,33764.28571428572
Latvia,Liepaja,478.2857142857143,238.71428571428572,239.57142857142858
Latvia,Riga,57968.142857142855,28974.571428571428,28993.571428571428
Latvia,Tukums Jurmala,8.666666666666666,4.666666666666667,4.0
Latvia,Ventspils,11.714285714285714,6.142857142857143,5.571428571428571
Lithuania,Kaunas,7588.142857142857,3787.4285714285716,3800.714285714286
Lithuania,Palanga,3004.8571428571427,1503.0,1501.857142857143
Lithuania,Siauliai,2291.714285714286,1144.142857142857,1147.5714285714287
Lithuania,Vilnius,32909.142857142855,16448.0,16461.14285714286
Luxembourg,Luxembourg,57343.71428571428,28649.714285714286,28694.0
Malta,Malta,40517.42857142857,20306.285714285714,20211.14285714286
Moldova,Chișinău,19465.428571428572,9721.714285714286,9743.714285714286
Montenegro,Podgorica,10150.142857142857,5075.714285714285,5074.428571428572
Morocco,Al Massira,10267.0,5137.4,5129.6
Morocco,Ibn Batouta,9499.6,4750.2,4749.4
Morocco,Menara,26707.8,13344.0,13363.8
Morocco,Mohammed V International,57196.6,28625.4,28571.2
Morocco,Rabat-Salé,8733.8,4375.8,4358.0
Morocco,Saïss,7770.2,3876.2,3894.0
Netherlands,Amsterdam - Schiphol,384860.71428571426,192461.14285714287,192399.57142857142
Netherlands,Groningen,8665.285714285714,4297.714285714285,4367.571428571428
Netherlands,Lelystad,2301.8,1174.6,1127.2
Netherlands,Maastricht-Aachen,8122.857142857143,4056.285714285714,4066.5714285714284
Netherlands,Rotterdam,19345.571428571428,9637.142857142857,9708.42857142857
Norway,Alesund,11026.6,5510.6,5516.0
Norway,Alta,7170.4,3583.8,3586.6
Norway,Andenes,3088.8,1546.2,1542.6
Norway,Bardufoss,2785.8,1392.4,1393.4
Norway,Batsfjord,1965.2,986.0,979.2
Norway,Bergen,73407.0,36668.57142857143,36738.42857142857
Norway,Berlevåg,1364.0,681.2,682.8
Norway,Bodø,31363.4,15698.8,15664.6
Norway,Bronnoysund Bronnoy,5790.8,2894.8,2896.0
Norway,Florø,6714.0,3354.6,3359.4
Norway,Forde Bringeland,2818.8,1408.4,1410.4
Norway,Hammerfest,8926.4,4451.2,4475.2
Norway,Harstad - Narvik Evenes,7929.8,3962.8,3967.0
Norway,Haugesund,5299.857142857143,2647.4285714285716,2652.4285714285716
Norway,Honningsvåg Valan,1742.2,869.2,873.0
Norway,Kirkenes Høybuktmoen,6331.8,3164.6,3167.2
Norway,Kristiansand Kjevik,10914.0,5445.6,5468.4
Norway,Kristiansund Kvernberget,8096.0,4054.0,4042.0
Norway,Lakselv Banak,2047.2,1024.6,1022.6
Norway,Leknes,4677.4,2335.4,2342.0
Norway,Mehamn,2143.0,1075.8,1067.2
Norway,Mo i Rana Røssvoll,4244.0,2120.0,2124.0
Norway,Molde Årø,4561.4,2279.8,2281.6
Norway,Mosjøen Kjærstad,3088.6,1543.4,1545.2
Norway,Namsos Høknesøra,2106.2,1052.8,1053.4
Norway,Orsta¿Volda Hovden,3659.0,1828.0,1831.0
Norway,Oslo - Gardermoen,189531.7142857143,94774.28571428571,94757.42857142857
Norway,Roros,1283.8,642.0,641.8
Norway,Rorvik Ryum,1972.6,985.6,987.0
Norway,Rost,1087.6,542.8,544.8
Norway,Sandane  Anda,1856.0,926.0,930.0
Norway,Sandnessjøen Stokka,3178.4,1587.0,1591.4
Norway,Sogndal Haukåsen,4307.4,2154.2,2153.2
Norway,Sorkjosen,1457.8,728.2,729.6
Norway,Stavanger,52914.42857142857,26426.714285714286,26487.714285714286
Norway,Stokmarknes Skagen,4282.4,2140.0,2142.4
Norway,Svalbard Longyear,1529.0,763.4,765.6
Norway,Svolvær Helle,3334.0,1665.6,1668.4
Norway,Tromsø,33984.6,17003.2,16981.4
Norway,Trondheim,45211.57142857143,22612.14285714286,22599.428571428572
Norway,Vadsø,5582.6,2790.4,2792.2
Norway,Vardø Svartnes,1851.8,925.2,926.6
Norway,Værøy,950.0,469.0,481.0
Poland,Bydgoszcz,2942.714285714286,1468.0,1474.7142857142858
Poland,Gdansk,32486.714285714286,16234.42857142857,16252.285714285714
Poland,Katowice - Pyrzowice,26967.714285714286,13474.142857142857,13493.57142857143
Poland,Krakow - Balice,42118.57142857143,21047.428571428572,21071.14285714286
Poland,Lodz - Lublinek,3254.4285714285716,1623.142857142857,1631.2857142857142
Poland,Lublin,2804.1428571428573,1399.4285714285713,1404.7142857142858
Poland,Olsztyn-Mazury,1175.0,584.7142857142857,590.2857142857143
Poland,Poznan - Lawica,16777.85714285714,8381.285714285714,8396.57142857143
Poland,Radom,540.5,272.3333333333333,268.1666666666667
Poland,Rzeszow - Jasionka,6850.714285714285,3420.1428571428573,3430.5714285714284
Poland,Szczecin - Goleniów,4481.714285714285,2239.8571428571427,2241.8571428571427
Poland,Warszawa - Chopina,133008.57142857142,66536.57142857143,66472.0
Poland,Warszawa - Modlin,15332.57142857143,7645.857142857143,7686.714285714285
Poland,Wroclaw - Strachowice,21821.428571428572,10909.857142857143,10911.57142857143
Poland,Zielona Gora - Babimost,827.8571428571429,412.42857142857144,415.42857142857144
Portugal,Cascais,4739.428571428572,2429.8571428571427,2309.5714285714284
Portugal,Faro,44452.857142857145,22224.714285714286,22228.14285714286
Portugal,Flores,1427.2857142857142,712.2857142857143,715.0
Portugal,Horta,3944.4285714285716,1975.0,1969.4285714285713
Portugal,Lisbon,157555.14285714287,78765.42857142857,78789.71428571429
Portugal,Madeira,19450.714285714286,9721.714285714286,9729.0
Portugal,Montijo,197.6,101.0,96.6
Portugal,Ponta Delgada,16154.714285714286,8081.0,8073.714285714285
Portugal,Porto,69797.85714285714,34891.42857142857,34906.42857142857
Portugal,Porto Santo,2445.714285714286,1216.142857142857,1229.5714285714287
Portugal,Santa Maria,2348.4285714285716,1178.2857142857142,1170.142857142857
Republic of North Macedonia,Skopje,13614.285714285714,6806.857142857143,6807.428571428572
Romania,Bucharest - Băneasa,4568.428571428572,2282.5714285714284,2285.8571428571427
Romania,Bucharest - Otopeni,89954.42857142857,44985.71428571428,44968.71428571428
Serbia,Belgrade - Nikola Tesla,52841.28571428572,26420.14285714286,26421.14285714286
Slovakia,Bratislava,16441.14285714286,8205.285714285714,8235.857142857143
Slovenia,Ljubljana,20894.571428571428,10441.857142857143,10452.714285714286
Slovenia,Maribor,1721.142857142857,847.1428571428571,874.0
Slovenia,Portorož,1611.5714285714287,796.5714285714286,815.0
Spain,Abad,199.42857142857142,99.85714285714286,99.57142857142857
Spain,Albacete,660.5714285714286,315.7142857142857,344.85714285714283
Spain,Alicante,71363.71428571429,35680.28571428572,35683.42857142857
Spain,Almeria,7196.714285714285,3596.0,3600.714285714286
Spain,Asturias,9285.0,4643.285714285715,4641.714285714285
Spain,Badajoz,1450.0,721.7142857142857,728.2857142857143
Spain,Barcelona,242823.7142857143,121425.0,121398.71428571429
Spain,Bilbao,33905.28571428572,16943.14285714286,16962.14285714286
Spain,Burgos,610.4285714285714,324.0,286.42857142857144
Spain,Ciudad Real Central,193.25,92.5,100.75
Spain,Cordoba,281.42857142857144,141.0,140.42857142857142
Spain,Fuerteventura,37720.857142857145,18862.571428571428,18858.285714285714
Spain,Gerona,11111.285714285714,5413.857142857143,5697.428571428572
Spain,Gran Canaria,95878.85714285714,47997.42857142857,47881.42857142857
Spain,Granada,7782.142857142857,3881.5714285714284,3900.5714285714284
Spain,Hierro,3842.4285714285716,1911.7142857142858,1930.7142857142858
Spain,Ibiza,57626.857142857145,28810.714285714286,28816.14285714286
Spain,Jerez De La Frontera,12213.714285714286,6109.714285714285,6104.0
Spain,La Coruna,8644.0,4305.285714285715,4338.714285714285
Spain,La Gomera,1525.5714285714287,763.7142857142857,761.8571428571429
Spain,La Palma,15691.0,7835.857142857143,7855.142857142857
Spain,Lanzarote,45768.71428571428,22882.714285714286,22886.0
Spain,Leon,939.1428571428571,437.14285714285717,502.0
Spain,Lleida - Alguaire,2044.0,1001.2857142857143,1042.7142857142858
Spain,Logrono,513.1428571428571,254.57142857142858,258.57142857142856
Spain,Madrid - Barajas,302437.5714285714,151264.57142857142,151173.0
Spain,Madrid - Cuatro Viento,2393.1428571428573,1255.5714285714287,1137.5714285714287
Spain,Madrid - Getafe,1339.5714285714287,667.8571428571429,671.7142857142857
Spain,Madrid - Torrejon,1489.7142857142858,722.8571428571429,766.8571428571429
Spain,Mahon,24690.85714285714,12346.0,12344.857142857143
Spain,Melilla,6884.428571428572,3437.8571428571427,3446.5714285714284
Spain,Murcia San Javier,3825.1428571428573,1902.0,1923.142857142857
Spain,Málaga,104214.42857142857,52124.42857142857,52090.0
Spain,Noain Pamplona,2978.1428571428573,1491.4285714285713,1486.7142857142858
Spain,Palma - Son San Juan,210.28571428571428,109.0,101.28571428571429
Spain,Palma de Mallorca,161339.7142857143,80664.85714285714,80674.85714285714
Spain,Región de Murcia International Airport,3926.0,1965.5,1960.5
Spain,Reus,5871.142857142857,2865.8571428571427,3005.285714285714
Spain,Rota,4337.0,2186.285714285714,2150.714285714286
Spain,Sabadell,1630.2857142857142,1053.5714285714287,576.7142857142857
Spain,Salamanca Matalan,2864.0,1423.142857142857,1440.857142857143
Spain,San Sebastian,3976.4285714285716,1980.857142857143,1995.5714285714287
Spain,Santander,6931.857142857143,3461.8571428571427,3470.0
Spain,Santiago,16193.57142857143,8128.571428571428,8065.0
Spain,Sevilla,38917.28571428572,19462.85714285714,19454.428571428572
Spain,Seville - Moron,4451.0,2246.714285714286,2204.285714285714
Spain,Son Bonet,557.5714285714286,281.14285714285717,276.42857142857144
Spain,Tenerife North,53477.42857142857,26737.0,26740.428571428572
Spain,Tenerife Sur - Reina Sofia,51987.0,25999.85714285714,25987.14285714286
Spain,Valencia,51170.28571428572,25583.571428571428,25586.714285714286
Spain,Valencia - Requena,153.71428571428572,62.714285714285715,91.0
Spain,Valladolid,2397.4285714285716,1138.2857142857142,1259.142857142857
Spain,Vigo,7842.714285714285,3901.5714285714284,3941.1428571428573
Spain,Vitoria,7924.142857142857,3953.285714285714,3970.8571428571427
Spain,Zaragoza,7333.0,3671.4285714285716,3661.5714285714284
Sweden,Göteborg,50509.142857142855,25248.428571428572,25260.714285714286
Sweden,Stockholm - Arlanda,171170.7142857143,85586.85714285714,85583.85714285714
Sweden,Stockholm - Bromma,37907.57142857143,18942.14285714286,18965.428571428572
Switzerland,Geneva,136962.14285714287,68501.14285714286,68461.0
Switzerland,Sion,5802.857142857143,2916.4285714285716,2886.4285714285716
Switzerland,Zürich,196045.85714285713,98041.57142857143,98004.28571428571
Turkey,Ankara - Esenboğa,79000.57142857143,39520.28571428572,39480.28571428572
Turkey,Antalya,129509.85714285714,64748.71428571428,64761.142857142855
Turkey,Istanbul Atatürk,224355.42857142858,112180.71428571429,112174.71428571429
Turkey,Istanbul Sabiha Gökçen,181661.0,90825.42857142857,90835.57142857143
Turkey,Izmir - Adnan Menderes,62847.57142857143,31423.428571428572,31424.14285714286
Turkey,iGA Istanbul Airport,187860.6,93929.0,93931.6
Ukraine,Kiev - Boryspil,71860.42857142857,35932.71428571428,35927.71428571428
United Kingdom,Aberdeen,42487.142857142855,21273.285714285714,21213.85714285714
United Kingdom,Belfast - Aldergrove,37716.0,18872.285714285714,18843.714285714286
United Kingdom,Belfast - City Airport,25870.0,12934.42857142857,12935.57142857143
United Kingdom,Biggin Hill,15306.57142857143,7646.571428571428,7660.0
United Kingdom,Birmingham,77629.85714285714,38819.71428571428,38810.142857142855
United Kingdom,Bristol,48530.57142857143,24162.285714285714,24368.285714285714
United Kingdom,East Midlands,54635.42857142857,27308.0,27327.428571428572
United Kingdom,Edinburgh,90407.0,45208.57142857143,45198.42857142857
United Kingdom,Farnborough,23987.714285714286,11994.142857142857,11993.57142857143
United Kingdom,Glasgow,63954.71428571428,32000.714285714286,31954.0
United Kingdom,London - City,54380.142857142855,27178.714285714286,27201.428571428572
United Kingdom,London - Gatwick,191442.42857142858,95716.85714285714,95725.57142857143
United Kingdom,London - Heathrow,349496.28571428574,174729.7142857143,174766.57142857142
United Kingdom,London - Luton,101459.14285714286,50723.0,50736.142857142855
United Kingdom,London - Stansted,143778.85714285713,71900.42857142857,71878.42857142857
United Kingdom,Londonderry - Eglinton,2317.1428571428573,1157.7142857142858,1159.4285714285713
United Kingdom,Manchester,141229.7142857143,70616.71428571429,70613.0
United Kingdom,Newcastle,26221.4,13105.6,13115.8
United Kingdom,Southampton,26888.714285714286,13425.0,13463.714285714286
